time,asks,bids,positive,negative,neutral
2019-02-13 21:45:21.528415,111.004,110.989,22.352941176470587,15.294117647058824,62.35294117647059
2019-02-13 21:45:43.008880,111.002,110.987,22.352941176470587,15.294117647058824,62.35294117647059
2019-02-13 21:46:04.700519,111.009,110.994,22.352941176470587,15.294117647058824,62.35294117647059
2019-02-13 21:46:26.199815,111.011,110.996,22.352941176470587,15.294117647058824,62.35294117647059
2019-02-13 21:46:47.654445,111.013,110.998,22.352941176470587,15.294117647058824,62.35294117647059
2019-02-13 21:47:09.006353,111.013,110.998,22.352941176470587,15.294117647058824,62.35294117647059
2019-02-13 21:47:30.390926,111.013,110.998,22.352941176470587,15.294117647058824,62.35294117647059
2019-02-13 21:47:51.848465,111.013,110.998,22.352941176470587,15.294117647058824,62.35294117647059
2019-02-13 21:48:13.535859,111.007,110.991,22.093023255813954,15.116279069767442,62.7906976744186
2019-02-13 21:48:35.259512,111.004,110.989,22.093023255813954,15.116279069767442,62.7906976744186
2019-02-13 21:48:56.770846,111.004,110.989,22.093023255813954,13.953488372093023,63.95348837209303
2019-02-13 21:49:18.905865,111.005,110.992,22.093023255813954,12.790697674418604,65.11627906976744
2019-02-13 21:49:40.304517,111.006,110.992,22.352941176470587,12.941176470588236,64.70588235294117
2019-02-13 21:50:01.905645,111.006,110.992,22.352941176470587,12.941176470588236,64.70588235294117
2019-02-13 21:50:23.276418,111.002,110.987,22.352941176470587,12.941176470588236,64.70588235294117
2019-02-13 21:50:44.740811,111.002,110.987,22.352941176470587,12.941176470588236,64.70588235294117
2019-02-13 21:51:06.270947,111.002,110.987,22.352941176470587,12.941176470588236,64.70588235294117
2019-02-13 21:51:27.659187,111.002,110.987,22.352941176470587,12.941176470588236,64.70588235294117
2019-02-13 21:51:49.076155,111.002,110.987,22.352941176470587,12.941176470588236,64.70588235294117
2019-02-13 21:52:10.549226,111.009,110.993,22.352941176470587,12.941176470588236,64.70588235294117
2019-02-13 21:52:31.951490,111.017,111.000,22.352941176470587,12.941176470588236,64.70588235294117
2019-02-13 21:52:53.660268,111.012,110.996,22.352941176470587,12.941176470588236,64.70588235294117
2019-02-13 21:53:15.145575,111.012,110.996,22.352941176470587,12.941176470588236,64.70588235294117
2019-02-13 21:53:36.673036,111.016,111.000,22.352941176470587,12.941176470588236,64.70588235294117
2019-02-13 21:53:58.154389,111.016,111.000,22.352941176470587,12.941176470588236,64.70588235294117
2019-02-13 21:54:19.488030,111.016,111.000,22.352941176470587,12.941176470588236,64.70588235294117
2019-02-13 21:54:40.899183,111.016,111.000,22.352941176470587,12.941176470588236,64.70588235294117
2019-02-13 21:55:02.506104,111.016,111.000,22.352941176470587,12.941176470588236,64.70588235294117
2019-02-13 21:55:23.946701,111.020,111.002,23.529411764705884,12.941176470588236,63.529411764705884
2019-02-13 21:55:45.506438,111.020,111.002,23.529411764705884,12.941176470588236,63.529411764705884
2019-02-13 21:56:06.950616,111.019,111.002,23.529411764705884,12.941176470588236,63.529411764705884
2019-02-13 21:56:28.417804,111.018,111.003,23.529411764705884,12.941176470588236,63.529411764705884
2019-02-13 21:56:49.981345,111.018,111.003,23.529411764705884,12.941176470588236,63.529411764705884
2019-02-13 21:57:11.259034,111.016,111.000,23.529411764705884,12.941176470588236,63.529411764705884
2019-02-13 21:57:32.659378,111.016,111.000,23.529411764705884,12.941176470588236,63.529411764705884
2019-02-13 21:57:54.439263,111.016,111.001,23.529411764705884,12.941176470588236,63.529411764705884
2019-02-13 21:58:15.783885,111.015,110.997,23.529411764705884,12.941176470588236,63.529411764705884
2019-02-13 21:58:37.165039,111.012,110.996,23.529411764705884,12.941176470588236,63.529411764705884
2019-02-13 21:58:58.613488,111.012,110.996,23.80952380952381,13.095238095238095,63.095238095238095
